City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
184,Daloa,CI,2022-02-28 22:04:42,6.8774,-6.4502,80.85,63,68,6.04
185,Iberia,US,2022-02-28 22:04:42,29.9502,-91.7507,62.22,40,8,10.27
186,Tabou,CI,2022-02-28 22:04:43,4.423,-7.3528,79.97,85,100,6.35
187,Rovinj,HR,2022-02-28 22:03:29,45.08,13.64,39.65,44,100,13.69
188,Ocean City,US,2022-02-28 22:05:43,39.2776,-74.5746,37.72,32,0,4.59
189,Doha,QA,2022-02-28 22:05:44,25.2867,51.5333,66.18,51,0,10.36
190,Skotterud,NO,2022-02-28 22:05:44,59.9828,12.1283,37.2,90,100,11.1
191,Atikokan,CA,2022-02-28 22:05:45,48.7555,-91.6216,24.37,90,100,2.84
192,Pran Buri,TH,2022-02-28 22:05:45,12.3847,99.9098,74.84,77,24,3.69
193,Port Keats,AU,2022-02-28 22:05:46,-14.25,129.55,80.26,85,93,8.5
194,Irondale,US,2022-02-28 22:01:05,33.5382,-86.7072,57.67,37,0,5.53
195,Lumeje,AO,2022-02-28 22:05:46,-11.55,20.7833,66.63,89,100,5.23
196,Oranjestad,AW,2022-02-28 22:05:46,12.524,-70.027,79.23,84,3,20.76
197,Mar Del Plata,AR,2022-02-28 22:05:47,-38.0023,-57.5575,63.16,41,60,20.8
198,Kilindoni,TZ,2022-02-28 22:05:47,-7.9139,39.6668,80.65,78,89,7.23
199,Cidreira,BR,2022-02-28 22:05:48,-30.1811,-50.2056,74.26,93,100,5.97
200,Leh,IN,2022-02-28 22:05:48,34.1667,77.5833,9.54,66,93,1.48
201,Adrar,MR,2022-02-28 22:05:49,20.5022,-10.0711,71.13,31,0,8.7
202,Scarborough,GB,2022-02-28 22:05:49,54.2797,-0.4044,45.66,91,100,7.9
203,Zavodouspenskoye,RU,2022-02-28 22:05:49,56.8626,65.0155,26.49,84,83,12.01
204,Narsaq,GL,2022-02-28 22:05:50,60.9167,-46.05,9.0,94,100,4.05
205,Matay,EG,2022-02-28 22:05:50,28.419,30.7792,59.49,40,0,8.21
206,San Andres,CO,2022-02-28 22:05:51,12.5847,-81.7006,80.11,69,20,16.24
207,Toora-Khem,RU,2022-02-28 22:05:51,52.4675,96.11,0.91,97,100,0.98
208,Uji,JP,2022-02-28 22:05:51,34.8833,135.8,42.75,60,55,1.95
209,Carson City,US,2022-02-28 22:05:52,39.1638,-119.7674,58.68,31,50,2.57
210,Tha Chang,TH,2022-02-28 22:05:52,9.2642,99.1922,76.87,87,62,8.61
211,Camana,PE,2022-02-28 22:05:53,-16.6228,-72.7111,72.97,84,92,6.6
212,Kichera,RU,2022-02-28 22:05:53,55.9375,110.0997,11.44,96,100,2.15
213,Colares,PT,2022-02-28 22:05:53,38.7992,-9.4469,60.33,58,97,8.99
214,Dombarovskiy,RU,2022-02-28 22:05:54,50.7587,59.5386,15.04,90,100,4.94
215,Shetpe,KZ,2022-02-28 22:05:54,44.1667,52.1167,37.69,83,11,1.5
216,Tuatapere,NZ,2022-02-28 22:05:55,-46.1333,167.6833,62.82,88,100,6.6
217,Ixtapa,MX,2022-02-28 22:05:55,20.7,-105.2,84.36,41,4,7.94
218,Pidhorodna,UA,2022-02-28 22:05:56,48.107,30.8895,32.02,78,100,13.56
219,Port Elizabeth,ZA,2022-02-28 22:05:56,-33.918,25.5701,71.91,93,98,8.86
220,Severo-Kurilsk,RU,2022-02-28 22:05:57,50.6789,156.125,25.47,80,100,26.37
221,Port Hardy,CA,2022-02-28 22:05:57,50.6996,-127.4199,46.76,87,100,7.29
222,Mtambile,TZ,2022-02-28 22:05:57,-5.3833,39.7,78.89,81,43,8.59
223,Kodiak,US,2022-02-28 22:05:58,57.79,-152.4072,37.63,68,55,8.88
224,Chapais,CA,2022-02-28 22:02:48,49.7834,-74.8492,4.66,83,100,7.11
225,Saskylakh,RU,2022-02-28 22:05:58,71.9167,114.0833,-27.51,100,85,3.85
226,Basco,PH,2022-02-28 22:05:58,20.4487,121.9702,74.61,74,48,18.01
